wage,earnwke,uhours,age,educ,female
10.5,420,40,23,39,0
14.059999999999999,562.4,40,62,43,0
8,320,40,64,32,1
8,320,40,27,33,0
8,320,40,27,34,0
27.25,1090,40,49,38,1
13,520,40,34,39,0
14.1025,846.15,60,59,43,1
42.73488888888889,1923.07,45,33,43,1
34.1345,1365.38,40,62,41,0
28.825,1153,40,40,43,1
29.70909090909091,1634,55,46,43,0
8,280,35,37,35,1
8,320,40,24,38,0
8,320,40,55,33,1
24.025,961,40,25,43,1
40.38,2019,50,60,39,0
15,600,40,61,39,0
43.269,1730.76,40,28,43,0
21.15375,846.15,40,28,42,1
13.825,553,40,44,43,1
15.625,1250,80,51,43,0
9.203285714285714,644.23,70,25,43,0
13.75,550,40,44,37,0
33.65,1346,40,30,44,1
28.825,1153,40,29,44,0
16.25,650,40,26,38,1
16.25,650,40,33,42,0
41.666666666666664,1750,42,40,40,1
29,1160,40,41,39,0
25.48075,1019.23,40,39,39,0
20.19225,807.69,40,37,43,1
46.354,1854.16,40,51,44,1
32.69225,1307.69,40,53,43,0
11.25,450,40,45,39,0
28,1120,40,50,36,0
8,320,40,51,39,0
20,800,40,32,43,1
60,2400,40,35,44,0
48.07675,1923.07,40,55,39,1
10.027777777777779,451.25,45,55,40,0
25.333333333333332,1140,45,29,42,1
24.27777777777778,1092.5,45,29,42,0
57.6922,2884.61,50,55,46,0
14,560,40,53,39,1
40,1600,40,35,43,1
38.4615,1538.46,40,34,44,1
22.5,900,40,28,41,0
19.52,780.8,40,31,41,0
25,1000,40,36,40,1
10,500,50,58,39,1
28.846041666666665,1384.61,48,34,42,0
64.10244444444444,2884.61,45,46,44,0
62.5,2500,40,47,44,1
8.5,340,40,40,32,0
12,480,40,25,43,0
10,400,40,24,41,0
10.5,472.5,45,22,40,1
28.845999999999997,1153.84,40,46,46,1
11.53825,461.53,40,39,43,0
35.075,1403,40,27,39,0
15,600,40,42,40,1
26.9,1076,40,38,43,0
41.958,2307.69,55,50,44,0
56,2240,40,44,43,0
35,1400,40,33,43,1
8,320,40,23,40,0
20.5,758.5,37,56,42,0
48.07683333333333,2884.61,60,55,45,1
14,490,35,33,43,1
11.53825,461.53,40,35,33,1
8.07675,323.07,40,24,33,0
33.65375,1346.15,40,28,43,1
28.845999999999997,1153.84,40,33,43,0
48.07683333333333,2884.61,60,30,43,1
72.11525,2884.61,40,52,44,0
31.725,1269,40,41,42,1
9,360,40,26,40,0
9,360,40,56,39,1
8,320,40,26,39,1
48.07675,1923.07,40,44,40,0
15,600,40,44,35,0
37.94866666666667,1707.69,45,36,40,1
45,1800,40,34,41,0
25,1250,50,25,43,0
25,1250,50,26,43,0
48.06,2403,50,29,43,0
7.5,300,40,24,35,0
82.41742857142857,2884.61,35,38,43,1
50,2000,40,41,44,0
17.5,700,40,51,38,0
18.25,730,40,28,40,0
19.23075,769.23,40,57,39,0
12.3,615,50,31,42,0
25.375,1015,40,50,44,1
7.5,300,40,37,37,1
18.75,750,40,38,39,0
23.07675,923.07,40,34,39,1
40.6,1624,40,39,40,0
15.9,636,40,37,40,1
39.375,1575,40,50,43,1
28.845999999999997,1153.84,40,60,40,1
16.1,724.5,45,40,33,0
10,400,40,26,41,1
15,600,40,43,39,1
46.35,1854,40,40,43,1
29.025,1161,40,40,43,1
23.066666666666666,1038,45,30,43,1
25.7,1028,40,44,46,1
52.875,2115,40,44,46,0
23,1150,50,49,39,0
6.722222222222222,484,72,63,32,1
18,720,40,64,33,0
12,480,40,19,31,0
62.5,2500,40,36,43,0
32.875,1315,40,60,43,1
33.65,1346,40,58,43,0
16.825,673,40,33,43,1
26.9,1076,40,37,43,0
9,360,40,46,32,1
4.5,180,40,20,39,0
13,455,35,25,39,1
11.514285714285714,403,35,20,39,1
12,480,40,25,32,0
38.46142857142858,2692.3,70,32,43,0
40,1800,45,52,40,0
17,680,40,22,43,0
24.038249999999998,961.53,40,43,40,1
33.65,1346,40,58,43,1
25.887999999999998,1035.52,40,58,38,1
59.82888888888889,2692.3,45,51,44,0
46.875,1875,40,44,44,1
48.07683333333333,2884.61,60,43,44,0
34,1360,40,61,43,1
18.44,737.6,40,40,37,0
46.875,1875,40,42,42,0
53.41866666666667,2403.84,45,43,44,0
31.25,1250,40,48,44,1
3.8461111111111115,276.92,72,41,39,1
22,880,40,32,39,0
20.5,1025,50,27,39,0
21.25,850,40,42,43,0
8.5,340,40,36,40,1
16.483428571428572,576.92,35,60,46,0
23.125,925,40,46,44,1
43.25,1730,40,47,43,0
11.666666666666666,700,60,46,38,0
2.8845,115.38,40,31,39,0
2.8845,115.38,40,51,43,0
7.69225,307.69,40,43,39,0
9.5,380,40,22,40,0
48.07683333333333,2884.61,60,32,43,0
57.6922,2884.61,50,39,43,1
57.6922,2884.61,50,39,44,0
25.95,1038,40,50,43,0
25,1000,40,52,39,0
21.15,846,40,29,42,1
25,1000,40,48,40,0
15,600,40,51,40,1
9,360,40,49,43,0
32,1280,40,35,40,1
14.5,580,40,34,40,0
36.36363636363637,2000,55,52,44,0
12.69225,507.69,40,55,37,0
8.137631578947369,309.23,38,58,33,1
2.875,115,40,30,40,0
28.75,1150,40,48,42,0
41.82675,1673.07,40,38,43,0
20.125,805,40,30,43,1
23,920,40,35,39,0
25.9615,1038.46,40,33,43,1
9,360,40,48,43,0
18.025,721,40,58,39,1
52.77777777777778,2375,45,48,46,0
34.615249999999996,1384.61,40,64,40,1
13.461400000000001,673.07,50,48,34,0
15.9,636,40,39,42,1
33.65375,1346.15,40,48,43,1
10,400,40,57,32,1
28.825,1153,40,63,43,0
25,1000,40,44,39,0
18,720,40,38,39,1
22.25,890,40,56,39,0
27.5,1100,40,39,41,0
26.923000000000002,1346.15,50,45,43,0
41.20857142857143,1730.76,42,39,43,1
46.153800000000004,2307.69,50,41,45,1
29.137474747474748,2884.61,99,44,44,0
46,1840,40,49,42,0
8,320,40,34,34,0
15.75,630,40,50,33,0
16.93,677.2,40,64,42,0
16,640,40,30,40,1
12.5,500,40,35,39,1
28.825,1153,40,39,39,0
32,1280,40,34,43,0
15.5,620,40,64,33,0
15.375,615,40,38,43,0
15,600,40,56,40,0
24,960,40,50,39,1
27,1080,40,54,43,0
18.65,746,40,31,41,0
14.4,576,40,44,42,1
25,1000,40,42,39,0
20,700,35,23,42,1
20.175,807,40,31,45,1
25,1000,40,53,39,0
30.555500000000002,1222.22,40,53,44,1
15.57675,623.07,40,26,43,0
39,1560,40,39,43,0
14,560,40,49,34,1
19,760,40,45,39,0
23.557499999999997,942.3,40,45,39,0
12.5,500,40,48,33,0
15,600,40,46,38,1
25,1000,40,26,43,0
20,800,40,29,38,0
24.23075,969.23,40,52,39,1
21.26153846153846,1382,65,55,40,0
16.82675,673.07,40,59,39,0
10,400,40,27,39,0
24.038249999999998,961.53,40,57,40,0
57.69225,2307.69,40,45,44,0
53.846000000000004,2692.3,50,37,45,0
14.969999999999999,598.8,40,27,39,1
13,520,40,30,39,0
16,640,40,35,39,0
13.205111111111112,594.23,45,56,40,1
20.035,801.4,40,37,43,1
11.525,461,40,39,39,0
14,560,40,35,39,1
29.29,1171.6,40,55,40,1
40.3845,1615.38,40,60,40,0
22.22222222222222,1000,45,53,39,1
12.631578947368421,480,38,46,42,0
9,360,40,49,31,0
26.425,1057,40,59,46,1
30.433333333333334,1826,60,59,44,1
41.86666666666667,1884,45,29,43,0
13,520,40,50,40,0
24.6,1230,50,59,44,1
21.5,860,40,39,39,0
36.0575,1442.3,40,39,43,0
11,440,40,32,39,1
57.675,2307,40,52,44,0
14.422999999999998,576.92,40,61,39,1
19,760,40,48,39,0
25,1000,40,56,39,1
22.5,900,40,45,36,1
57.6922,2884.61,50,63,43,0
48.07683333333333,2884.61,60,42,44,0
16.7,668,40,58,42,1
27.69225,1107.69,40,39,45,1
38.760000000000005,1550.4,40,36,42,0
15,600,40,36,39,1
18.75,750,40,38,39,1
15,600,40,41,39,0
15,600,40,40,40,1
15.75,630,40,21,40,0
12.5,500,40,64,39,0
17.5,700,40,53,43,0
43.25,1730,40,42,44,0
22.5,900,40,35,43,1
14.969999999999999,598.8,40,32,39,1
17.43577777777778,784.61,45,39,43,1
40.3845,1615.38,40,39,43,0
38.4615,1538.46,40,44,40,0
57.6922,2884.61,50,47,45,1
8.5,340,40,50,34,0
9.83,393.2,40,51,33,1
19.22222222222222,865,45,40,43,0
24.025,961,40,31,43,1
39,1560,40,40,39,0
16,640,40,34,40,0
10,400,40,26,40,1
13,520,40,27,40,0
10,400,40,46,34,1
10,400,40,22,40,0
10,400,40,54,40,0
34.615249999999996,1384.61,40,48,39,0
29.423000000000002,1176.92,40,33,44,0
33,1188,36,31,43,1
48.07683333333333,2884.61,60,44,46,1
18.25,730,40,44,41,1
30.38,1519,50,41,39,0
13.45,538,40,30,39,0
15.3846,769.23,50,53,43,1
34.90375,1396.15,40,57,42,1
57.6922,2884.61,50,38,44,0
9,360,40,42,33,0
8,320,40,25,40,1
15.38,769,50,30,39,1
7.2,288,40,28,39,0
19.22,961,50,32,43,1
10.5,420,40,41,40,0
14.4,576,40,36,41,1
14.5,580,40,31,37,1
9.61525,384.61,40,59,43,0
20,800,40,37,40,1
17.3,692,40,41,39,1
5.257142857142857,184,35,41,39,0
11,440,40,51,39,0
72.11525,2884.61,40,46,43,0
17.3,692,40,38,42,1
20.19225,807.69,40,30,43,1
33.65375,1346.15,40,63,43,1
15,600,40,47,40,0
17.307499999999997,692.3,40,30,43,0
48.07675,1923.07,40,43,43,0
34.615249999999996,1384.61,40,57,43,1
42.3076,2115.38,50,50,44,0
52.8845,2115.38,40,45,44,1
21,840,40,50,35,0
9.5,332.5,35,31,37,0
10.75,376.25,35,41,36,0
17.3,692,40,42,42,1
13.45,538,40,33,43,1
23.075,923,40,34,39,1
9,360,40,52,32,1
8,320,40,19,39,0
8,320,40,45,33,0
15,600,40,52,32,0
15,600,40,39,40,0
12,480,40,23,36,0
25,1000,40,44,40,0
4.8,192,40,30,39,1
19.75,790,40,39,40,0
15,600,40,41,43,0
25,1000,40,37,43,1
60,2880,48,49,42,1
9.5,380,40,55,35,0
9.5,380,40,23,39,0
24.038249999999998,961.53,40,39,42,0
12.5,500,40,40,43,1
15,600,40,42,39,1
8.3,332,40,37,39,0
8.3,332,40,45,35,1
16.7,668,40,56,40,1
24.363636363636363,1340,55,30,43,0
15,600,40,28,43,1
27.019,1080.76,40,41,44,0
22.5,900,40,36,43,1
13,520,40,30,39,0
20,800,40,44,39,0
40,1600,40,40,43,1
18.75,750,40,29,40,0
18.5,740,40,38,38,0
9.6,384,40,61,43,0
40,1600,40,62,43,1
32.3075,1292.3,40,56,42,1
6.470588235294118,550,85,24,32,0
11.25,450,40,45,38,0
23.076833333333333,1384.61,60,34,44,0
11.923,596.15,50,43,40,1
24.225,969,40,34,40,1
25.95,1557,60,47,43,1
72.11525,2884.61,40,57,44,1
22.3076,1115.38,50,54,45,1
13.846,553.84,40,35,43,1
15,600,40,38,41,0
28.845999999999997,1153.84,40,46,44,1
11.11111111111111,400,36,57,43,1
7,280,40,24,37,0
55.46875,2218.75,40,36,46,1
48.07683333333333,2884.61,60,38,45,0
10.075,403,40,41,39,1
12.5,500,40,36,39,0
25,1000,40,19,40,1
37.5,1500,40,54,33,0
22,880,40,50,39,1
15,600,40,50,39,1
12,420,35,50,40,0
25.9615,1038.46,40,54,40,1
36.057625,2884.61,80,38,43,1
10,400,40,31,44,1
11.75,470,40,48,39,0
12.5,500,40,52,43,1
15.9,636,40,45,39,1
57.6922,2884.61,50,51,43,1
72.11525,2884.61,40,52,46,0
14,560,40,48,40,1
15,600,40,23,33,0
16.52,660.8,40,62,40,0
25,1000,40,37,39,0
8,320,40,49,39,0
9,360,40,23,39,0
16,640,40,45,39,1
8.5,391,46,28,37,0
11.399999999999999,410.4,36,35,39,1
17.24,862,50,34,39,0
48.95090909090909,2692.3,55,57,43,1
8.75,350,40,35,34,1
14,560,40,36,39,1
14,560,40,39,39,0
19.23075,769.23,40,34,40,0
26.875,1075,40,39,39,0
25.455000000000002,1018.2,40,35,39,1
18.9,756,40,29,39,0
12.75,510,40,33,39,1
48.07683333333333,2884.61,60,34,45,0
46.875,1875,40,49,40,0
16.36659574468085,769.23,47,61,40,0
11,440,40,46,40,0
19.81,792.4,40,44,40,1
18.571428571428573,1300,70,31,39,0
50,2500,50,47,43,0
16.825,673,40,30,43,1
53.84,2692,50,32,43,0
28.825,1153,40,38,42,1
21.625,865,40,61,40,1
28.846,1442.3,50,62,43,0
13.5,540,40,48,39,0
28,1400,50,34,43,0
14,700,50,26,43,0
9.5,475,50,29,37,0
11.53825,461.53,40,49,40,1
12.98075,519.23,40,31,43,0
17.083333333333332,1230,72,62,45,1
48.07683333333333,2884.61,60,64,43,0
35.575,1423,40,50,43,0
22.5,900,40,51,45,1
9.285714285714286,325,35,43,39,1
23,920,40,46,39,0
35,1260,36,60,42,1
24.04,961.6,40,33,44,0
18.66,746.4,40,60,39,0
32,1280,40,50,40,1
13.825,553,40,52,44,1
32.2,1288,40,62,43,0
16.25,650,40,27,39,0
14.769200000000001,738.46,50,40,31,0
52.44745454545455,2884.61,55,61,43,0
26,1040,40,60,44,1
35,1400,40,27,43,1
13.7,548,40,41,39,0
13,520,40,33,42,1
64.10244444444444,2884.61,45,51,44,0
7.675,307,40,57,43,1
13,520,40,39,42,1
40.3845,1615.38,40,42,43,0
12.5,500,40,43,34,1
57.6922,2884.61,50,52,45,0
57.6922,2884.61,50,50,39,1
7.5,300,40,43,36,1
10.428571428571429,365,35,60,40,1
11.75,470,40,25,40,0
57.69225,2307.69,40,44,43,0
26.923000000000002,1076.92,40,40,39,0
26.923000000000002,1076.92,40,57,40,0
10,480,48,44,39,1
14.4,576,40,55,40,1
24.025,961,40,55,40,0
24.225,969,40,61,45,0
17.5,700,40,29,39,0
31.25,1250,40,30,40,0
17.5,700,40,41,42,1
11.057500000000001,442.3,40,52,43,1
23.37276923076923,1519.23,65,53,39,0
23,920,40,54,40,0
25.74,1029.6,40,53,40,1
18.5,740,40,42,38,0
14.114285714285714,494,35,25,38,0
18,720,40,57,33,0
32.044444444444444,1442,45,49,39,0
9.5,380,40,60,32,0
8.5,340,40,57,32,1
12,480,40,32,37,0
18,720,40,29,39,1
25,1000,40,41,42,0
58.75,2350,40,46,43,0
60.096000000000004,2403.84,40,37,44,1
0.0172,0.86,50,23,42,1
10,400,40,34,32,0
23.75,950,40,43,40,0
12.25,490,40,40,40,1
48.07675,1923.07,40,38,44,0
9.5,380,40,30,39,1
12.42,496.8,40,55,43,0
15.9,636,40,37,39,1
11.53825,461.53,40,42,43,1
8,320,40,27,39,0
10,400,40,28,39,1
12.64425,505.77,40,26,43,1
14.422999999999998,576.92,40,55,32,0
38.4615,1538.46,40,59,40,1
9.35,374,40,50,39,1
8.125,325,40,34,38,0
39,1560,40,36,42,0
12.69225,507.69,40,47,39,1
57.6922,2884.61,50,40,44,0
46.875,1875,40,43,44,1
48.07683333333333,2884.61,60,43,45,0
